source,foot_id,mesh_path,side,length,width,foot_height,arch_height,ball_girth,waist_girth,instep_girth,heel_girth,ankle_girth,long_heel_girth,short_heel_girth,n_vertices
dryad_foot,dryad_0097,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/051_fBW_R.ply,right,260.0,137.0,84.2,3.2,420.1,422.3,486.5,663.9,547.8,663.9,597.5,33950
dryad_foot,dryad_0098,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/051_mBW_R.ply,right,243.1,121.7,77.3,4.9,410.3,415.3,464.7,620.1,579.7,620.1,558.1,32795
dryad_foot,dryad_0100,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/052_mBW_R.ply,right,263.7,134.6,88.0,0.7,454.5,460.0,503.0,684.4,652.7,684.4,616.0,32731
dryad_foot,dryad_0101,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/053_fBW_R.ply,right,268.3,139.8,101.5,9.6,498.3,502.4,537.2,738.8,727.1,738.8,664.9,33349
dryad_foot,dryad_0102,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/053_mBW_R.ply,right,268.2,137.3,100.8,4.8,498.8,499.6,538.5,722.4,698.1,722.4,650.2,33480
dryad_foot,dryad_0104,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/054_mBW_R.ply,right,260.9,139.0,97.7,5.5,495.7,502.2,546.5,729.9,699.8,729.9,656.9,34535
dryad_foot,dryad_0105,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/055_fBW_R.ply,right,241.2,138.7,84.4,2.6,424.1,425.9,479.8,676.5,629.2,676.5,608.8,34102
dryad_foot,dryad_0106,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/055_mBW_R.ply,right,236.5,137.0,82.2,4.1,422.7,424.6,478.0,663.2,621.4,663.2,596.9,33843
dryad_foot,dryad_0108,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/056_mBW_R.ply,right,240.8,135.8,95.6,1.8,497.6,501.6,523.3,705.6,682.1,705.6,635.0,34365
dryad_foot,dryad_0109,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/057_fBW_R.ply,right,259.6,136.8,94.4,0.5,493.9,501.2,552.5,619.9,515.2,619.9,557.9,34420
dryad_foot,dryad_0110,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/057_mBW_R.ply,right,251.9,134.0,90.6,0.0,487.4,493.5,549.1,642.3,544.9,642.3,578.1,35675
dryad_foot,dryad_0111,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/058_fBW_R.ply,right,257.5,136.5,90.9,0.3,459.0,465.0,494.9,708.7,681.4,708.7,637.8,31139
dryad_foot,dryad_0112,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/058_mBW_R.ply,right,249.2,134.0,88.5,1.6,456.3,460.0,487.0,684.6,659.2,684.6,616.1,32249
dryad_foot,dryad_0115,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/060_fBW_R.ply,right,253.0,138.0,90.3,1.7,451.0,452.2,470.5,701.5,677.2,701.5,631.4,32515
dryad_foot,dryad_0116,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/060_mBW_R.ply,right,253.9,133.1,89.4,4.2,448.8,448.0,473.6,664.8,623.6,664.8,598.3,32755
dryad_foot,dryad_0117,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/061_fBW_R.ply,right,259.5,139.1,97.4,1.9,491.4,499.0,511.7,729.2,714.1,729.2,656.3,33248
dryad_foot,dryad_0118,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/061_mBW_R.ply,right,254.3,138.8,95.7,1.3,487.4,492.9,511.4,719.8,708.9,719.8,647.8,33603
dryad_foot,dryad_0120,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/062_mBW_R.ply,right,257.7,136.7,89.7,2.8,492.7,498.2,520.6,701.0,675.0,701.0,630.9,33416
dryad_foot,dryad_0121,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/063_fBW_R.ply,right,260.3,138.9,86.8,6.5,428.3,432.1,482.3,714.0,682.5,714.0,642.6,33712
dryad_foot,dryad_0122,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/063_mBW_R.ply,right,257.7,133.1,87.5,4.8,427.2,430.3,478.5,673.5,634.6,673.5,606.2,33104
dryad_foot,dryad_0123,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/065_fBW_R.ply,right,265.0,138.7,88.0,2.9,451.0,462.2,514.4,710.4,674.4,710.4,639.4,33708
dryad_foot,dryad_0124,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/065_mBW_R.ply,right,257.2,138.4,85.2,2.9,447.9,455.9,509.4,705.5,675.8,705.5,635.0,34188
dryad_foot,dryad_0126,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/066_mBW_R.ply,right,270.8,137.1,96.6,8.2,497.5,499.1,531.6,729.2,700.1,729.2,656.3,33959
dryad_foot,dryad_0127,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/067_fBW_R.ply,right,258.4,138.1,100.4,7.4,485.8,489.3,528.9,723.1,686.6,723.1,650.8,34460
dryad_foot,dryad_0128,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/067_mBW_R.ply,right,251.1,135.8,99.2,6.3,483.1,488.7,532.3,686.2,647.7,686.2,617.6,35187
dryad_foot,dryad_0130,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/068_mBW_R.ply,right,262.8,136.5,84.5,1.8,434.0,435.4,468.9,684.9,647.1,684.9,616.4,32825
dryad_foot,dryad_0132,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/069_mBW_R.ply,right,264.0,136.8,91.0,3.0,469.4,477.9,503.8,698.7,677.8,698.7,628.8,33208
dryad_foot,dryad_0134,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/070_mBW_R.ply,right,261.4,138.1,103.6,0.7,535.0,536.1,581.7,716.1,689.9,716.1,644.5,35718
dryad_foot,dryad_0136,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/071_mBW_R.ply,right,260.5,138.7,96.8,5.2,505.5,506.0,544.4,711.3,687.7,711.3,640.2,34197
dryad_foot,dryad_0138,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/072_mBW_R.ply,right,258.0,136.1,96.4,6.7,494.8,505.1,538.4,700.7,669.6,700.7,630.6,34678
dryad_foot,dryad_0140,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/073_mBW_R.ply,right,269.9,133.4,85.8,0.6,476.7,487.1,532.5,675.9,639.3,675.9,608.3,33952
dryad_foot,dryad_0142,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/074_mBW_R.ply,right,269.7,136.1,104.2,5.6,534.5,535.0,549.1,708.1,672.1,708.1,637.3,34609
dryad_foot,dryad_0144,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/075_mBW_Lr.ply,left,269.9,137.0,93.7,11.9,494.6,500.2,533.2,714.1,682.1,714.1,642.7,33875
dryad_foot,dryad_0146,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/076_mBW_R.ply,right,253.6,138.8,94.6,3.7,487.0,493.8,535.5,722.5,710.1,722.5,650.2,33957
dryad_foot,dryad_0148,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/077_mBW_R.ply,right,257.6,139.3,90.7,3.3,449.7,463.2,504.9,720.2,706.7,720.2,648.2,33240
dryad_foot,dryad_0150,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/078_mBW_Lr.ply,left,245.3,137.9,86.1,2.4,450.2,451.2,480.6,705.1,678.3,705.1,634.6,33197
dryad_foot,dryad_0152,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/079_mBW_R.ply,right,237.4,137.7,82.8,3.7,435.9,441.1,491.8,649.3,584.8,649.3,584.4,35446
dryad_foot,dryad_0153,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/080_fBW_R.ply,right,252.9,137.7,96.7,8.8,467.5,472.1,496.6,705.8,670.2,705.8,635.2,34190
dryad_foot,dryad_0154,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/080_mBW_R.ply,right,250.8,134.0,95.2,6.9,465.5,469.2,502.5,667.8,625.3,667.8,601.0,34023
dryad_foot,dryad_0156,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/081_mBW_R.ply,right,272.8,139.3,97.8,1.8,485.5,488.4,526.1,734.5,723.8,734.5,661.1,33708
dryad_foot,dryad_0157,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/082_fBW_R.ply,right,255.1,134.7,83.7,3.6,442.8,446.2,513.2,540.9,443.2,540.9,486.8,33831
dryad_foot,dryad_0158,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/082_mBW_R.ply,right,245.1,134.0,83.1,6.2,436.9,441.9,506.9,591.7,485.9,591.7,532.5,35020
dryad_foot,dryad_0159,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/083_fBW_R.ply,right,251.8,139.3,84.0,4.9,427.9,435.6,478.6,721.0,699.4,721.0,648.9,32688
dryad_foot,dryad_0160,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/083_mBW_R.ply,right,245.3,138.1,82.0,3.2,433.9,441.2,477.9,710.1,689.0,710.1,639.1,33325
dryad_foot,dryad_0161,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/084_fBW_R.ply,right,256.2,137.8,87.7,5.3,434.2,438.4,496.7,676.7,547.1,676.7,609.0,33621
dryad_foot,dryad_0162,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/084_mBW_R.ply,right,246.5,135.4,86.6,5.7,426.4,429.9,492.5,657.2,592.1,657.2,591.5,33945
dryad_foot,dryad_0164,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/085_mBW_R.ply,right,270.2,136.4,86.0,2.5,443.9,447.6,490.0,696.2,668.8,696.2,626.6,33565
dryad_foot,dryad_0166,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/086_mBW_R.ply,right,261.9,139.3,92.0,0.7,478.3,482.2,513.8,727.7,715.6,727.7,654.9,33696
dryad_foot,dryad_0167,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/087_fBW_R.ply,right,275.7,139.4,98.5,3.4,479.3,485.0,526.5,747.7,727.2,747.7,672.9,33462
dryad_foot,dryad_0168,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/087_mBW_R.ply,right,267.6,138.7,94.5,4.1,491.0,493.6,519.8,730.6,713.6,730.6,657.5,33353
dryad_foot,dryad_0170,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/088_mBW_R.ply,right,248.6,138.8,89.2,1.2,464.6,464.5,497.0,705.0,677.0,705.0,634.5,33606
dryad_foot,dryad_0171,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/089_fBW_R.ply,right,260.7,134.1,88.1,5.5,421.8,424.3,479.5,670.5,616.2,670.5,603.4,32820
dryad_foot,dryad_0172,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/089_mBW_R.ply,right,249.6,134.2,87.4,1.4,427.2,423.7,464.9,673.2,643.8,673.2,605.9,32457
dryad_foot,dryad_0173,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/090_fBW_R.ply,right,286.1,138.3,99.5,0.9,501.1,506.8,525.1,738.3,726.2,738.3,664.5,33148
dryad_foot,dryad_0174,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/090_mBW_R.ply,right,279.7,135.5,97.5,2.9,494.8,500.7,519.3,720.4,702.9,720.4,648.4,33109
dryad_foot,dryad_0175,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/091_fBW_R.ply,right,258.9,139.1,88.6,6.3,450.4,451.2,494.2,696.8,646.6,696.8,627.1,33751
dryad_foot,dryad_0176,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/091_mBW_R.ply,right,258.2,132.8,85.9,4.5,450.1,449.8,489.3,648.3,586.3,648.3,583.5,33426
dryad_foot,dryad_0178,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/092_mBW_R.ply,right,284.7,137.3,93.3,2.3,485.5,491.3,526.8,733.9,716.3,733.9,660.5,33676
dryad_foot,dryad_0181,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/094_fBW_R.ply,right,245.4,138.7,92.6,5.3,464.3,468.0,500.8,713.7,673.4,713.7,642.3,33643
dryad_foot,dryad_0182,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/094_mBW_R.ply,right,247.3,132.3,90.3,7.7,460.6,462.2,503.0,650.8,593.4,650.8,585.7,33922
dryad_foot,dryad_0184,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/095_mBW_R.ply,right,244.4,136.6,94.6,4.5,499.2,506.9,537.5,699.5,668.5,699.5,629.6,35068
dryad_foot,dryad_0188,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/097_mBW_Lr.ply,left,253.9,136.9,85.9,4.1,448.1,452.8,497.6,695.9,662.8,695.9,626.3,34395
dryad_foot,dryad_0190,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/098_mBW_Lr.ply,left,273.5,136.0,95.0,10.4,509.2,507.9,529.1,718.7,693.1,718.7,646.8,33495
dryad_foot,dryad_0191,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/099_fBW_R.ply,right,255.9,138.0,87.8,6.5,447.1,455.2,503.8,690.0,639.2,690.0,621.0,33945
dryad_foot,dryad_0192,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/099_mBW_R.ply,right,257.2,133.8,84.7,5.0,448.0,454.4,509.8,643.0,573.0,643.0,578.7,34499
dryad_foot,dryad_0194,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/100_mBW_R.ply,right,255.0,133.6,85.4,0.4,461.0,466.8,507.6,677.1,644.3,677.1,609.4,33174
dryad_foot,dryad_0195,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/101_fBW_R.ply,right,237.4,138.3,87.8,9.4,443.7,447.8,471.5,698.9,672.0,698.9,629.0,32435
dryad_foot,dryad_0196,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/101_mBW_R.ply,right,240.9,131.2,85.2,7.6,444.1,447.0,472.4,648.1,607.0,648.1,583.3,33535
dryad_foot,dryad_0197,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/102_fBW_R.ply,right,249.1,137.3,86.9,7.9,436.6,444.0,484.4,700.3,653.0,700.3,630.3,34187
dryad_foot,dryad_0198,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/102_mBW_R.ply,right,245.4,134.8,81.9,4.7,438.1,442.1,488.7,668.5,610.0,668.5,601.6,34737
dryad_foot,dryad_0200,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/103_mBW_R.ply,right,251.6,136.4,92.8,2.9,479.1,479.8,529.4,697.3,663.8,697.3,627.6,34411
